Contagem,Ano,Título,Gênero,País,Nacionalidade,Distribuidora,Origem_distribuidora,Público_exibição,Renda
621,2019,Tully,Ficção,Estados Unidos,Estrangeira,Diamond Films,Distribuição Nacional,138.0,1685.0
622,2019,"Tunga, O Esquecimento Das Paixões",Documentário,Brasil,Brasileira,Cup Filmes,Distribuição Nacional,1782.0,19225.0
623,2019,Turma Da Mônica - Laços,Ficção,Brasil,Brasileira,Paris,Distribuição Nacional,2125813.0,30391984.0
624,2019,Tá Rindo De Quê?,Documentário,Brasil,Brasileira,Bretz Filmes,Distribuição Nacional,1475.0,23736.0
625,2019,Uglydolls,Ficção,"China, Estados Unidos",Estrangeira,Diamond Films,Distribuição Nacional,98098.0,1419226.0
626,2019,Ultraje,Documentário,Brasil,Brasileira,Elo Company,Distribuição Nacional,674.0,6026.0
627,2019,Um Amante Francês,Ficção,França,Estrangeira,Pagu Pictures,Distribuição Nacional,5026.0,88886.0
628,2019,Um Amor Impossível,Ficção,"Bélgica, França",Estrangeira,A2 Filmes,Distribuição Nacional,13161.0,230302.0
629,2019,Um Amor Inesperado,Ficção,Argentina,Estrangeira,Alpha Filmes,Distribuição Nacional,92943.0,1659103.0
630,2019,Um Ato De Esperança,Ficção,"Estados Unidos, Reino Unido",Estrangeira,A2 Filmes,Distribuição Nacional,110.0,1986.0
631,2019,Um Banho De Vida,Ficção,"Bélgica, França",Estrangeira,Pagu Pictures,Distribuição Nacional,30206.0,532869.0
632,2019,Um Dia,Ficção,Hungria,Estrangeira,Zeta Filmes,Distribuição Nacional,71.0,1251.0
633,2019,Um Dia De Chuva Em Nova York,Ficção,Estados Unidos,Estrangeira,Imagem,Distribuição Nacional,141920.0,3007661.0
634,2019,Um Dia Para Susana,Documentário,Brasil,Brasileira,Vitrine Filmes,Distribuição Nacional,204.0,2097.0
635,2019,Um Elefante Sentado Quieto,Ficção,China,Estrangeira,Zeta Filmes,Distribuição Nacional,1305.0,16663.0
636,2019,Um Funeral Em Família,Ficção,Estados Unidos,Estrangeira,Paris,Distribuição Nacional,2094.0,36885.0
637,2019,Um Homem Comum,Ficção,"Estados Unidos, Sérvia",Estrangeira,Mares Filmes/A2 Filmes,Distribuição Nacional,117.0,1160.0
638,2019,Um Homem Fiel,Ficção,França,Estrangeira,Supo Mungam Films,Distribuição Nacional,325.0,6211.0
639,2019,Um Lugar Silencioso,Ficção,Estados Unidos,Estrangeira,Paramount,Distribuição Internacional,15.0,289.0
640,2019,Um Segredo Em Paris,Ficção,França,Estrangeira,Pagu Pictures,Distribuição Nacional,398.0,3884.0
641,2019,Uma,Documentário,"Brasil, Índia",Brasileira,Espaço Filmes,Distribuição Nacional,8697.0,162734.0
642,2019,Uma Aventura Lego 2,Ficção,"Austrália, Canadá, Dinamarca, Estados Unidos, Noruega",Estrangeira,Warner,Distribuição Internacional,402456.0,6336439.0
643,2019,Uma Noite Não É Nada,Ficção,Brasil,Brasileira,Imovision,Distribuição Nacional,165.0,2042.0
644,2019,Uma Nova Chance,Ficção,Estados Unidos,Estrangeira,Diamond Films,Distribuição Nacional,122105.0,1898092.0
